"Código","Departamento","Hogares_ADptos_sinred2010","Hogares_ADptos_hac_sinred2010","Hogares_CasasB2010"
"02001","Comuna 01",39,5,3379
"02002","Comuna 02",1,0,25
"02003","Comuna 03",0,0,310
"02004","Comuna 04",31,1,3570
"02005","Comuna 05",0,0,94
"02006","Comuna 06",0,0,121
"02007","Comuna 07",9,1,1997
"02008","Comuna 08",27,2,5432
"02009","Comuna 09",0,0,984
"02010","Comuna 10",1,1,617
"02011","Comuna 11",0,0,406
"02012","Comuna 12",0,0,199
"02013","Comuna 13",0,0,47
"02014","Comuna 14",0,0,50
"02015","Comuna 15",1,0,349
"06028","Almirante Brown",51641,1039,26592
"06035","Avellaneda",185,2,6635
"06091","Berazategui",2939,64,9101
"06260","Esteban Echeverría",25179,564,16750
"06270","Ezeiza",17171,620,12986
"06274","Florencio Varela",11525,401,28103
"06371","General San Martín",1037,53,9985
"06408","Hurlingham",27628,409,5283
"06410","Ituzaingó",37354,299,3767
"06412","José C. Paz",38909,781,19838
"06427","La Matanza",67101,2141,91608
"06434","Lanús",241,0,10805
"06490","Lomas de Zamora",1233,20,32451
"06515","Malvinas Argentinas",55724,1142,18694
"06539","Merlo",44908,1292,32738
"06560","Moreno",35988,1054,31385
"06568","Morón",12966,82,4197
"06658","Quilmes",473,15,21921
"06749","San Fernando",493,2,4036
"06756","San Isidro",96,0,2872
"06760","San Miguel",26078,513,13411
"06805","Tigre",27041,589,14646
"06840","Tres de Febrero",3553,111,5738
"06861","Vicente López",12,0,1072
"06007","Adolfo Alsina",825,7,324
"06014","Adolfo Gonzáles Chaves",460,3,243
"06021","Alberti",443,5,200
"06042","Ayacucho",870,10,301
"06049","Azul",1437,12,1401
"06056","Bahía Blanca",662,4,4605
"06063","Balcarce",1181,17,1298
"06070","Baradero",671,8,777
"06077","Arrecifes",479,6,629
"06084","Benito Juárez",568,7,287
"06098","Berisso",214,12,2376
"06105","Bolívar",977,15,673
"06112","Bragado",1153,10,1012
"06119","Brandsen",2030,39,1005
"06126","Campana",1331,47,3303
"06134","Cañuelas",6313,177,2870
"06140","Capitán Sarmiento",410,16,272
"06147","Carlos Casares",900,15,564
"06154","Carlos Tejedor",1209,9,479
"06161","Carmen de Areco",751,14,478
"06168","Castelli",408,9,143
"06175","Colón",806,6,659
"06182","Coronel de Marina L. Rosales",350,6,523
"06189","Coronel Dorrego",567,6,210
"06196","Coronel Pringles",781,13,604
"06203","Coronel Suárez",2000,10,725
"06210","Chacabuco",1002,19,1181
"06217","Chascomús",2022,30,1047
"06224","Chivilcoy",2284,46,1999
"06231","Daireaux",733,11,410
"06238","Dolores",1334,13,1387
"06245","Ensenada",0,0,1711
"06252","Escobar",29748,890,11197
"06266","Exaltación de la Cruz",3137,54,1021
"06277","Florentino Ameghino",497,7,205
"06280","General Alvarado",1003,10,880
"06287","General Alvear",422,4,248
"06294","General Arenales",677,3,357
"06301","General Belgrano",1186,19,545
"06308","General Guido",201,1,119
"06315","General Juan Madariaga",1711,44,1152
"06322","General La Madrid",1143,14,367
"06329","General Las Heras",1576,36,564
"06336","General Lavalle",411,9,196
"06343","General Paz",768,10,424
"06351","General Pinto",586,6,310
"06357","General Pueyrredón",8367,185,10481
"06364","General Rodríguez",8682,274,5457
"06385","General Viamonte",1615,12,870
"06392","General Villegas",2891,58,1322
"06399","Guaminí",723,5,192
"06406","Hipólito Yrigoyen",317,5,207
"06413","Junín",1322,26,1722
"06420","La Costa",5279,136,1838
"06441","La Plata",10128,219,12625
"06448","Laprida",378,5,202
"06455","Las Flores",616,6,706
