"Código","Departamento","Hacinamiento","Casa_A","viv_Departamento"
"02001","Comuna 01","Hasta   0.50 personas por cuarto",1639,24281
"02001","Comuna 01","0.51  -  0.99  personas por cuarto",1086,9866
"02001","Comuna 01","1.00  -  1.49  personas por cuarto",2138,19298
"02001","Comuna 01","1.50  -  1.99  personas por cuarto",591,3265
"02001","Comuna 01","2.00  -  3.00  personas por cuarto",1640,4961
"02001","Comuna 01","Más de  3.00 personas por cuarto",381,504
"02001","Comuna 01","Total",7475,62175
"02002","Comuna 02","Hasta   0.50 personas por cuarto",333,32042
"02002","Comuna 02","0.51  -  0.99  personas por cuarto",238,12997
"02002","Comuna 02","1.00  -  1.49  personas por cuarto",257,20629
"02002","Comuna 02","1.50  -  1.99  personas por cuarto",101,2070
"02002","Comuna 02","2.00  -  3.00  personas por cuarto",111,3739
"02002","Comuna 02","Más de  3.00 personas por cuarto",13,176
"02002","Comuna 02","Total",1053,71653
"02003","Comuna 03","Hasta   0.50 personas por cuarto",1830,23404
"02003","Comuna 03","0.51  -  0.99  personas por cuarto",1086,10355
"02003","Comuna 03","1.00  -  1.49  personas por cuarto",1363,22946
"02003","Comuna 03","1.50  -  1.99  personas por cuarto",298,4039
"02003","Comuna 03","2.00  -  3.00  personas por cuarto",452,6370
"02003","Comuna 03","Más de  3.00 personas por cuarto",58,577
"02003","Comuna 03","Total",5087,67691
"02004","Comuna 04","Hasta   0.50 personas por cuarto",5531,10724
"02004","Comuna 04","0.51  -  0.99  personas por cuarto",5105,7270
"02004","Comuna 04","1.00  -  1.49  personas por cuarto",7871,13892
"02004","Comuna 04","1.50  -  1.99  personas por cuarto",2214,3082
"02004","Comuna 04","2.00  -  3.00  personas por cuarto",3404,3717
"02004","Comuna 04","Más de  3.00 personas por cuarto",689,443
"02004","Comuna 04","Total",24814,39128
"02005","Comuna 05","Hasta   0.50 personas por cuarto",2833,21965
"02005","Comuna 05","0.51  -  0.99  personas por cuarto",2985,10388
"02005","Comuna 05","1.00  -  1.49  personas por cuarto",2383,22344
"02005","Comuna 05","1.50  -  1.99  personas por cuarto",495,3747
