"Código","Departamento","VivHabitadas2010","Casa","Rancho","Casilla","viv_Departamento","Pieza.en.inquilinato","Pieza.en.hotel.familiar.o.pensión","Local.no.construido.para.habitación","Vivienda.móvil"
"02001","Comuna 01",77669,8715,94,515,58641,5128,4301,265,10
"02002","Comuna 02",71447,1027,2,47,69848,219,290,10,4
"02003","Comuna 03",76942,4758,0,70,65241,2282,4358,219,14
"02004","Comuna 04",69640,24710,125,375,37653,5287,1080,398,12
"02005","Comuna 05",74054,8903,0,47,61360,1404,2203,137,0
"02006","Comuna 06",73305,7631,0,19,64491,264,822,78,0
"02007","Comuna 07",73940,23286,15,119,46662,2106,1570,182,0
"02008","Comuna 08",48922,25534,183,405,21371,1178,29,222,0
"02009","Comuna 09",51517,29019,23,38,21411,235,640,151,0
"02010","Comuna 10",58295,28946,29,72,27741,1033,348,126,0
"02011","Comuna 11",68175,29607,0,57,37859,367,110,175,0
"02012","Comuna 12",75095,28659,28,30,45971,119,148,140,0
"02013","Comuna 13",98187,10550,9,68,86389,398,637,136,0
"02014","Comuna 14",99567,5835,0,10,92074,350,1223,75,0
"02015","Comuna 15",69549,19108,4,61,48734,1255,247,140,0
"06028","Almirante Brown",142899,121151,856,5861,14490,356,18,142,25
"06035","Avellaneda",105857,70149,425,1000,33293,600,139,251,0
"06091","Berazategui",86753,77565,790,3836,3848,542,0,146,26
"06260","Esteban Echeverría",79970,71454,1250,1836,4770,478,49,110,23
"06270","Ezeiza",42001,37314,447,2114,2036,55,0,35,0
"06274","Florencio Varela",104524,90242,1294,7707,4754,207,54,266,0
"06371","General San Martín",123537,98790,809,2080,20686,678,188,304,2
"06408","Hurlingham",51191,45746,249,732,4165,202,20,68,9
"06410","Ituzaingó",48593,46191,84,893,1281,77,0,67,0
"06412","José C. Paz",66640,62357,376,2748,829,130,39,121,40
"06427","La Matanza",433996,361650,2937,10695,54251,3147,180,1089,47
"06434","Lanús",138536,111447,459,1195,24927,308,87,109,4
"06490","Lomas de Zamora",163930,142849,1356,2854,15394,1279,26,167,5
"06515","Malvinas Argentinas",81577,75224,653,2921,1976,635,27,141,0
"06539","Merlo",135778,123149,754,5591,5544,440,9,290,1
"06560","Moreno",114190,103846,1014,4815,3811,438,17,230,19
"06568","Morón",101566,79948,114,822,20107,149,173,211,42
"06658","Quilmes",164449,139452,1360,6573,15980,678,48,339,19
"06749","San Fernando",44740,33819,174,882,9271,421,21,147,5
"06756","San Isidro",93242,70897,134,946,20940,124,35,149,17
"06760","San Miguel",74793,65260,539,1762,6684,238,153,157,0
