"Código","Departamento","Poblacion2022","Viviendas2022","Hogares2022"
"010007","Ambato",5087,3949,1751
"010014","Ancasti",3282,1427,1086
"010021","Andalgalá",19545,7574,6110
"010028","Antofagasta de la Sierra",1822,971,629
"010035","Belén",30353,11609,9563
"010042","Capayán",19471,7312,5805
"010049","Capital",186466,63346,59691
"010056","El Alto",4375,2137,1477
"010063","Fray Mamerto Esquiú",14624,4678,4261
"010070","La Paz",26341,9770,8389
"010077","Paclín",4696,2646,1504
"010084","Pomán",12219,4597,3827
"010091","Santa María",26822,10370,8495
"010098","Santa Rosa",13317,4646,4187
"010105","Tinogasta",25254,9877,7962
"010112","Valle Viejo",33951,11259,10416
"014007","Calamuchita",75462,44100,28298
"014014","Capital",1498060,612979,553470
"014021","Colón",294511,107293,97732
"014028","Cruz del Eje",64748,24324,21425
"014035","General Roca",36064,15944,13556
"014042","General San Martín",152397,67968,57886
"014049","Ischilín",36023,14206,11660
"014056","Juárez Celman",68317,27985,24974
"014063","Marcos Juárez",107286,49321,41894
"014070","Minas",4855,2535,1815
"014077","Pocho",5070,2787,1911
"014084","Presidente Roque Sáenz Peña",37551,16458,14169
"014091","Punilla",219494,107295,82780
"014098","Río Cuarto",277979,125983,105896
"014105","Río Primero",58181,22276,19338
"014112","Río Seco",15275,6485,5150
"014119","Río Segundo",113311,45209,40511
"014126","San Alberto",42029,19325,14665
"014133","San Javier",62700,28967,22830
"014140","San Justo",228951,96654,85574
"014147","Santa María",139012,58796,46836
"014154","Sobremonte",4381,1988,1515
"014161","Tercero Arriba",120207,51282,45250
"014168","Totoral",22473,9066,7531
"014175","Tulumba",14092,7049,5147
"014182","Unión",113635,48419,42587
"018007","Bella Vista",44369,14400,13636
"018014","Berón de Astrada",2808,1263,963
"018021","Capital",437446,144213,137451
"018028","Concepción",26270,8095,7669
"018035","Curuzú Cuatiá",51489,18072,16644
"018042","Empedrado",17948,6377,5631
"018049","Esquina",39168,12511,11814
"018056","General Alvear",9051,3337,3060
"018063","General Paz",17016,6292,5557
"018070","Goya",106223,35324,33457
"018077","Itatí",11946,3932,3688
"018084","Ituzaingó",38767,14754,12457
"018091","Lavalle",40406,11886,11627
"018098","Mburucuyá",11541,4511,3826
"018105","Mercedes",49807,16616,15529
"018112","Monte Caseros",45602,15404,14642
"018119","Paso de los Libres",56778,18786,17896
"018126","Saladas",29126,8780,8457
"018133","San Cosme",19679,10584,6482
"018140","San Luis del Palmar",21381,6777,6245
"018147","San Martín",15164,5662,4987
"018154","San Miguel",12700,4141,3833
"018161","San Roque",22682,7297,6868
"018168","Santo Tomé",71922,25929,23424
"018175","Sauce",10382,3527,3286
"02007","Comuna 1",221001,130145,106509
"02014","Comuna 2",160609,107498,83818
"02021","Comuna 3",193537,110264,92555
"02028","Comuna 4",227024,100950,91186
"02035","Comuna 5",192449,105979,93208
"02042","Comuna 6",201764,106669,95464
"02049","Comuna 7",213262,99624,90970
"02056","Comuna 8",203888,73029,70622
"02063","Comuna 9",167908,75315,66753
"02070","Comuna 10",171896,84220,73964
"02077","Comuna 11",201905,100777,87910
"02084","Comuna 12",235364,120868,108085
"02091","Comuna 13",262330,145490,127241
"02098","Comuna 14",247252,150774,127733
"02105","Comuna 15",195265,102752,90717
"022007","Almirante Brown",37794,14389,11475
"022014","Bermejo",28060,10427,9500
"022021","Comandante Fernández",101086,37317,33950
"022028","Chacabuco",34493,12899,11506
"022036","12 de Octubre",23179,8209,7526
"022039","2 de Abril",8310,3648,2979
"022043","Fray Justo Santa María de Oro",10643,4098,3641
"022049","General Belgrano",12807,4378,3936
"022056","General Donovan",15061,5444,4896
"022063","General Güemes",68429,25999,22505
"022070","Independencia",21948,7521,6683
"022077","Libertad",13775,4670,4396
"022084","Libertador General San Martín",65304,22691,21302
"022091","Maipú",26354,9568,8447
"022098","Mayor Luis J. Fontana",59798,22184,20246
"022105","9 de Julio",30223,11524,9897
"022112","O'Higgins",21544,7561,6653
"022119","Presidencia de la Plaza",13938,5098,4415
"022126","1º de Mayo",14265,5693,4842
"022133","Quitilipi",32430,11476,10421
"022140","San Fernando",413764,150375,142251
"022147","San Lorenzo",16045,6221,5383
"022154","Sargento Cabral",18696,6942,6288
"022161","Tapenagá",4051,1560,1360
"022168","25 de Mayo",32606,11224,9989
"026007","Biedma",102806,40705,36907
"026014","Cushamen",28099,13230,11103
"026021","Escalante",214829,83046,75459
"026028","Florentino Ameghino",1782,839,699
"026035","Futaleufú",49965,20845,19185
"026042","Gaiman",12505,5103,4551
"026049","Gastre",1181,763,538
"026056","Languiñeo",2862,1610,1176
"026063","Mártires",744,403,337
"026070","Paso de Indios",1882,992,769
"026077","Rawson",144420,60716,53873
"026084","Río Senguer",6347,2994,2485
"026091","Sarmiento",14477,5695,5083
"026098","Tehuelches",5947,3079,2398
"026105","Telsen",1608,925,694
"030008","Colón",74890,31367,27796
"030015","Concordia",197603,69550,64806
"030021","Diamante",52312,23342,19672
"030028","Federación",78264,28329,26248
"030035","Federal",29436,11115,9999
"030042","Feliciano",16717,5897,5387
"030049","Gualeguay",56796,23205,20385
"030056","Gualeguaychú",125176,51370,45599
"030063","Islas del Ibicuy",13984,5964,4676
"030070","La Paz",75271,26531,24525
"030077","Nogoyá",42954,17244,15109
"030084","Paraná",388716,155999,141269
"030088","San Salvador",20786,7717,7137
"030091","Tala",31091,13226,11336
"030098","Uruguay",115516,48445,43089
"030105","Victoria",40301,17464,14388
"030113","Villaguay",55284,21191,19239
"034007","Bermejo",15600,5817,5007
"034014","Formosa",268572,96628,88295
"034021","Laishi",19275,7728,6385
"034028","Matacos",17017,5955,5165
"034035","Patiño",81600,31171,27749
"034042","Pilagás",19089,7159,6278
"034049","Pilcomayo",94116,32167,30189
"034056","Pirané",72560,27126,24397
"034063","Ramón Lista",17678,4807,4741
"038007","Cochinoca",14998,6190,4850
"038014","El Carmen",122259,35763,33904
"038021","Dr. Manuel Belgrano",319469,104549,100036
"038028","Humahuaca",20877,8648,6528
"038035","Ledesma",94132,29326,27854
"038042","Palpalá",65522,20534,19284
"038049","Rinconada",1797,998,703
"038056","San Antonio",6729,2778,2110
"038063","San Pedro",88237,28629,26794
"038070","Santa Bárbara",20497,6818,6066
"038077","Santa Catalina",2641,1135,876
"038084","Susques",3966,1509,1141
"038094","Tilcara",14621,6573,4960
"038098","Tumbaya",5298,2067,1733
"038105","Valle Grande",2490,1684,931
"038112","Yavi",25831,9043,7936
"042007","Atreucó",11053,5377,4526
"042014","Caleu Caleu",2611,1247,959
"042021","Capital",118504,53944,48011
"042028","Catriló",8225,3716,3084
"042035","Conhelo",15094,7323,6150
"042042","Curacó",1103,708,460
