"Código","Departamento","VivHabitadas2022","Casa.tipo.A","Casa.tipo.B","Rancho","Casilla","viv_Departamento","Pieza.ocupada.en.inquilinato..hotel.familiar.o.pensión","Local.no.construido.para.habitación.ocupado","Vivienda.móvil.ocupada"
"010007","Ambato",1714,1437,224,13,14,15,10,0,1
"010014","Ancasti",1062,653,375,20,2,4,6,2,0
"010021","Andalgalá",5932,4909,750,39,25,152,42,10,5
"010028","Antofagasta de la Sierra",612,444,137,7,2,9,11,0,2
"010035","Belén",9372,7258,1433,120,18,433,100,8,2
"010042","Capayán",5664,4220,1209,82,37,45,37,29,5
"010049","Capital",58382,47076,4024,338,201,5990,629,101,23
"010056","El Alto",1448,1010,374,25,17,12,7,1,2
"010063","Fray Mamerto Esquiú",4139,3628,401,32,25,37,11,2,3
"010070","La Paz",8196,5558,1951,288,34,256,94,9,6
"010077","Paclín",1473,1278,132,16,17,12,17,1,0
"010084","Pomán",3729,2950,544,80,18,89,23,19,6
"010091","Santa María",8264,6157,1258,172,25,530,106,13,3
"010098","Santa Rosa",4098,3118,771,53,27,73,37,16,3
"010105","Tinogasta",7753,6158,1196,126,7,162,87,15,2
"010112","Valle Viejo",10140,8557,1129,72,36,243,77,20,6
"014007","Calamuchita",27872,23528,1604,229,238,1929,219,50,75
"014014","Capital",545786,346085,23200,2406,1339,167205,4327,973,251
"014021","Colón",96466,79326,6204,587,301,9229,518,223,78
"014028","Cruz del Eje",21155,16661,3004,201,50,1049,140,25,25
"014035","General Roca",13506,12174,912,39,25,256,76,17,7
"014042","General San Martín",57410,42778,1854,341,88,11951,264,103,31
"014049","Ischilín",11466,9352,1405,57,16,552,52,25,7
"014056","Juárez Celman",24836,21761,799,82,25,1952,130,46,41
"014063","Marcos Juárez",41670,37611,1321,151,36,2345,146,51,9
"014070","Minas",1797,1343,359,45,16,26,6,2,0
"014077","Pocho",1876,1432,315,54,9,55,6,2,3
"014084","Presidente Roque Sáenz Peña",14091,12154,947,35,21,848,59,20,7
"014091","Punilla",81727,64393,3948,442,297,11881,558,123,85
"014098","Río Cuarto",105039,82136,4185,271,84,17793,391,140,39
"014105","Río Primero",19053,15756,1356,233,83,1378,131,107,9
"014112","Río Seco",5073,3914,920,76,8,91,39,23,2
"014119","Río Segundo",40144,34961,1525,124,44,3249,155,61,25
"014126","San Alberto",14419,12041,1291,106,23,787,128,33,10
"014133","San Javier",22577,18181,2371,218,58,1559,138,29,23
"014140","San Justo",84866,70040,3092,197,81,10842,383,194,37
"014147","Santa María",46153,38054,3530,283,119,3873,166,101,27
"014154","Sobremonte",1497,1178,261,16,1,26,13,1,1
"014161","Tercero Arriba",44901,38469,1314,161,29,4695,138,75,20
"014168","Totoral",7448,6358,573,38,14,383,68,12,2
"014175","Tulumba",5100,4072,787,58,8,119,37,17,2
"014182","Unión",42309,37340,1724,164,88,2727,205,47,14
"018007","Bella Vista",13379,9408,2300,311,454,656,215,32,3
"018014","Berón de Astrada",950,641,261,24,10,2,11,1,0
"018021","Capital",134123,87719,14927,1073,1891,24153,3848,370,142
"018028","Concepción",7474,3971,1493,386,1408,51,140,19,6
"018035","Curuzú Cuatiá",16378,12318,2643,268,135,767,200,38,9
"018042","Empedrado",5520,3764,1240,252,169,40,45,8,2
"018049","Esquina",11439,7170,2796,507,400,344,166,39,17
"018056","General Alvear",3020,2370,415,34,106,43,24,19,9
"018063","General Paz",5469,3726,1135,223,171,85,112,7,10
"018070","Goya",32782,22700,5329,1025,1060,2105,423,111,29
"018077","Itatí",3644,2708,765,42,19,37,64,4,5
"018084","Ituzaingó",12227,8737,1828,236,578,613,213,15,7
"018091","Lavalle",11393,5876,3069,866,994,288,239,46,15
"018098","Mburucuyá",3775,2627,765,121,138,46,70,6,2
"018105","Mercedes",15249,12350,1887,181,101,399,284,34,13
"018112","Monte Caseros",14360,11301,1299,154,466,862,195,67,16
"018119","Paso de los Libres",17583,13317,1998,214,577,1281,141,42,13
"018126","Saladas",8254,5045,1621,189,874,304,155,56,10
"018133","San Cosme",6318,5064,986,68,62,38,82,7,11
"018140","San Luis del Palmar",6078,3669,1759,355,39,119,104,19,14
"018147","San Martín",4910,3883,623,92,90,142,54,19,7
"018154","San Miguel",3705,2029,1181,229,185,23,49,5,4
"018161","San Roque",6706,4848,1414,112,129,63,111,26,3
"018168","Santo Tomé",22989,16655,2252,389,595,2768,274,45,11
"018175","Sauce",3233,2384,651,78,13,59,36,9,3
"02007","Comuna 1",104984,11491,2640,352,173,80674,9196,394,64
"02014","Comuna 2",83038,1638,107,132,92,80171,765,103,30
"02021","Comuna 3",91391,6408,395,254,77,76741,7106,381,29
"02028","Comuna 4",90018,29812,4082,214,333,49814,5322,379,62
"02035","Comuna 5",92166,11623,331,304,109,76327,3085,364,23
"02042","Comuna 6",94566,10080,231,426,197,81963,1092,467,110
"02049","Comuna 7",89905,23956,1234,176,116,60820,3264,303,36
"02056","Comuna 8",69286,31547,6038,481,252,27856,2772,283,57
"02063","Comuna 9",65918,33707,1310,127,72,29285,1062,300,55
"02070","Comuna 10",73305,30569,624,218,90,40273,1220,237,74
"02077","Comuna 11",86950,32161,681,148,49,52699,716,430,66
"02084","Comuna 12",107094,31479,544,376,103,73538,691,297,66
"02091","Comuna 13",126307,12115,254,337,114,112534,764,144,45
"02098","Comuna 14",126532,6526,194,409,121,117637,1360,236,49
"02105","Comuna 15",89798,21939,659,311,110,64964,1433,343,39
"022007","Almirante Brown",11250,4885,4847,544,681,171,97,18,7
"022014","Bermejo",9376,6457,2350,167,34,186,154,23,5
"022021","Comandante Fernández",33434,19273,8625,208,1905,3070,296,34,23
"022028","Chacabuco",11336,6835,3361,135,107,786,92,13,7
"022036","12 de Octubre",7427,3805,2343,137,755,247,127,11,2
"022039","2 de Abril",2951,1494,1171,22,49,164,38,10,3
"022043","Fray Justo Santa María de Oro",3609,1903,1451,37,21,92,96,5,4
"022049","General Belgrano",3833,1494,1918,13,333,48,20,5,2
"022056","General Donovan",4828,3559,1087,38,31,22,80,5,6
"022063","General Güemes",22142,8769,8857,1295,2234,632,297,28,30
"022070","Independencia",6537,2139,3186,41,1051,48,54,13,5
"022077","Libertad",4331,3206,876,54,82,69,33,10,1
"022084","Libertador General San Martín",20984,12499,5968,1404,148,620,308,25,12
"022091","Maipú",8301,3434,3598,230,765,164,72,22,16
"022098","Mayor Luis J. Fontana",19977,12666,5823,70,155,1014,198,36,15
"022105","9 de Julio",9714,5069,3926,145,37,417,94,25,1
"022112","O'Higgins",6531,3349,2206,42,679,162,72,13,8
"022119","Presidencia de la Plaza",4350,2649,1297,51,170,82,92,7,2
"022126","1º de Mayo",4791,3508,1047,78,30,49,56,14,9
"022133","Quitilipi",10239,5298,3786,206,537,270,117,11,14
"022140","San Fernando",140166,94723,21073,1941,1119,19412,1616,159,123
"022147","San Lorenzo",5301,2679,2252,42,196,53,71,6,2
"022154","Sargento Cabral",6206,3621,2296,79,47,68,87,7,1
"022161","Tapenagá",1337,783,452,26,43,9,17,5,2
"022168","25 de Mayo",9777,4753,3975,273,534,126,105,10,1
"026007","Biedma",36528,24455,1940,203,156,9216,438,70,50
"026014","Cushamen",11051,9484,788,185,119,361,78,14,22
"026021","Escalante",74644,57763,3163,470,437,11333,1385,51,42
"026028","Florentino Ameghino",694,630,39,2,0,11,8,2,2
"026035","Futaleufú",19067,15109,650,108,189,2763,221,18,9
"026042","Gaiman",4511,3871,261,45,14,275,39,5,1
"026049","Gastre",531,348,155,18,2,6,2,0,0
"026056","Languiñeo",1172,1001,128,21,8,5,6,1,2
"026063","Mártires",337,280,45,6,1,1,3,1,0
"026070","Paso de Indios",767,638,101,14,2,4,8,0,0
"026077","Rawson",53419,42260,1998,240,69,8167,605,55,25
"026084","Río Senguer",2471,2193,133,12,7,83,41,1,1
"026091","Sarmiento",5046,4247,165,20,29,500,76,7,2
"026098","Tehuelches",2390,2155,117,23,4,61,20,7,3
"026105","Telsen",689,565,101,12,0,7,2,1,1
"030008","Colón",27437,23335,972,69,320,2510,173,44,14
"030015","Concordia",63827,46138,5321,380,4849,6450,524,117,48
"030021","Diamante",19464,15565,1041,84,45,2584,93,40,12
"030028","Federación",25904,21012,1265,139,321,2850,255,55,7
"030035","Federal",9867,7838,1298,121,89,420,83,12,6
"030042","Feliciano",5287,3954,912,119,52,201,37,11,1
"030049","Gualeguay",20150,16970,1122,161,123,1646,85,34,9
"030056","Gualeguaychú",45103,37849,1854,294,270,4513,225,82,16
"030063","Islas del Ibicuy",4620,3423,593,37,393,117,26,16,15
"030070","La Paz",24104,19078,3462,435,119,771,182,36,21
"030077","Nogoyá",14933,12826,1135,124,59,673,82,30,4
"030084","Paraná",139631,106030,7653,913,412,23385,900,251,87
"030088","San Salvador",7054,6189,311,57,77,347,55,18,0
"030091","Tala",11215,9488,835,156,45,575,75,29,12
"030098","Uruguay",42629,33206,1634,299,864,6291,245,73,17
"030105","Victoria",14240,11888,1126,146,133,799,108,28,12
"030113","Villaguay",19008,15087,1564,290,99,1814,97,43,14
"034007","Bermejo",4882,1026,2751,944,50,25,69,13,4
"034014","Formosa",86681,59598,12010,802,621,10052,3357,143,98
"034021","Laishi",6308,3600,2171,250,19,70,181,10,7
"034028","Matacos",5058,1804,2593,372,60,53,167,6,3
"034035","Patiño",27314,11574,12703,1416,231,369,890,85,46
"034042","Pilagás",6206,3372,2376,266,33,29,121,6,3
"034049","Pilcomayo",29577,18516,7863,1262,172,935,711,97,21
"034056","Pirané",24016,14148,8168,549,87,477,500,62,25
"034063","Ramón Lista",4647,474,1774,2150,168,8,60,6,7
"038007","Cochinoca",4678,2162,2069,205,9,55,135,20,23
"038014","El Carmen",32584,23336,6120,382,466,837,1144,259,40
"038021","Dr. Manuel Belgrano",97258,70148,10973,939,684,11409,2649,348,108
"038028","Humahuaca",6245,3871,1940,184,47,40,138,21,4
"038035","Ledesma",27033,19231,4978,731,632,933,423,90,15
"038042","Palpalá",18778,15089,2106,235,193,556,509,72,18
"038049","Rinconada",682,193,413,54,1,2,18,1,0
"038056","San Antonio",2039,1436,460,52,27,17,23,20,4
"038063","San Pedro",26046,18532,4802,429,342,1598,231,86,26
"038070","Santa Bárbara",5874,3381,1810,298,268,9,85,21,2
"038077","Santa Catalina",827,214,437,145,1,4,19,5,2
"038084","Susques",1079,530,419,59,10,36,16,8,1
"038094","Tilcara",4853,3089,1472,100,11,35,132,7,7
"038098","Tumbaya",1670,932,595,61,18,8,51,3,2
"038105","Valle Grande",891,340,425,101,4,2,13,5,1
"038112","Yavi",7604,4202,2612,165,17,240,344,19,5
"042007","Atreucó",4515,4206,81,13,4,185,14,12,0
"042014","Caleu Caleu",955,895,26,3,0,19,11,1,0
"042021","Capital",47727,35871,777,72,24,10647,262,58,16
"042028","Catriló",3067,2776,91,16,6,155,15,5,3
"042035","Conhelo",6138,5626,123,8,8,340,21,9,3
"042042","Curacó",459,418,23,3,2,9,2,2,0
"042049","Chalileo",1110,961,64,8,1,71,5,0,0
"042056","Chapaleufú",4737,4321,128,17,5,232,25,8,1
"042063","Chical Co",539,454,57,5,1,16,5,1,0
"042070","Guatraché",3919,3671,135,19,7,71,10,6,0
"042077","Hucal",3432,3281,37,17,7,69,11,9,1
"042084","Lihuel Calel",178,167,9,0,0,2,0,0,0
"042091","Limay Mahuida",187,164,20,1,1,0,0,0,1
"042098","Loventué",3640,3344,82,16,3,172,21,2,0
"042105","Maracó",26643,21327,310,32,12,4799,113,38,12
"042112","Puelén",4069,3198,181,13,24,610,36,5,2
"042119","Quemú Quemú",3357,3158,62,16,6,89,9,15,2
"042126","Rancul",4151,3900,98,10,9,106,19,9,0
"042133","Realicó",6715,6188,111,4,11,356,29,13,3
"042140","Toay",6387,5690,193,17,10,410,56,5,6
"042147","Trenel",2248,2019,61,6,5,148,5,3,1
"042154","Utracán",6706,5846,156,12,5,648,31,7,1
"046007","Arauco",5149,4155,612,30,117,180,44,9,2
"046014","Capital",68812,51702,4340,1113,1215,9788,526,104,24
"046021","Castro Barros",1906,1465,314,25,45,29,14,9,5
"046028","General Felipe Varela",3642,2912,350,59,119,170,28,1,3
"046035","Chamical",5240,4115,361,49,323,339,47,6,0
"046042","Chilecito",18223,14632,1400,100,559,1296,174,52,10
"046049","Famatina",2380,1909,211,60,136,46,18,0,0
"046056","Ángel Vicente Peñaloza",998,741,138,16,91,1,10,1,0
"046063","General Belgrano",2598,1973,310,25,124,148,11,4,3
"046070","General Juan Facundo Quiroga",1263,917,211,99,14,10,10,0,2
"046077","General Lamadrid",607,557,30,6,11,1,1,0,1
"046084","General Ortiz de Ocampo",2567,1982,395,40,78,57,13,1,1
"046091","General San Martín",1573,1265,247,19,5,20,16,1,0
"046098","Vinchina",927,757,85,30,43,6,4,0,2
"046105","Independencia",731,477,185,22,42,2,1,2,0
"046112","Rosario Vera Peñaloza",5232,3932,899,61,29,235,69,4,3
"046119","San Blas de Los Sauces",1425,1200,104,15,93,6,7,0,0
"046126","Sanagasta",876,739,60,10,48,9,5,5,0
"050007","Capital",47889,22040,2001,259,146,22646,596,184,17
"050014","General Alvear",17908,14599,1373,204,105,1473,93,49,12
"050021","Godoy Cruz",66336,46627,2212,407,137,16533,267,135,18
"050028","Guaymallén",100130,73596,5956,1036,386,18167,713,230,46
"050035","Junín",13929,11684,979,145,44,915,91,58,13
"050042","La Paz",3844,3259,347,25,13,170,14,13,3
"050049","Las Heras",68309,51926,6011,1336,425,8041,370,157,43
"050056","Lavalle",13502,9614,2576,561,42,619,62,22,6
"050063","Luján de Cuyo",51467,42183,3733,598,233,4157,342,159,62
"050070","Maipú",63535,50456,5844,744,208,5580,477,179,47
"050077","Malargüe",10931,8607,910,97,17,1213,74,8,5
"050084","Rivadavia",19615,16010,1778,176,35,1492,90,26,8
"050091","San Carlos",12351,9567,1254,176,41,1073,212,20,8
"050098","San Martín",41476,32724,3964,514,132,3665,231,225,21
"050105","San Rafael",71698,54737,6085,982,193,8983,386,243,89
"050112","Santa Rosa",5900,4930,679,70,11,158,44,8,0
"050119","Tunuyán",18332,13695,1691,389,155,2051,237,106,8
"050126","Tupungato",12315,9000,1475,138,33,1301,340,17,11
"054007","Apóstoles",16038,11631,1997,359,927,916,175,26,7
"054014","Cainguás",19310,13460,4172,387,279,718,253,36,5
"054021","Candelaria",11317,8485,2058,196,269,148,129,17,15
"054028","Capital",132581,93559,10254,1059,1729,22839,2797,267,77
"054035","Concepción",3205,2309,513,93,202,52,28,7,1
"054042","Eldorado",30607,21743,4117,479,428,3272,514,36,18
"054049","General Manuel Belgrano",14348,10135,3117,324,216,353,145,41,17
"054056","Guaraní",24916,15586,6619,686,424,1322,227,46,6
"054063","Iguazú",31622,23225,4251,622,516,2266,670,61,11
"054070","Leandro N. Alem",16925,12745,2390,221,348,989,209,21,2
"054077","Libertador General San Martín",17456,12918,2144,485,329,1350,172,53,5
"054084","Montecarlo",12562,9850,1757,210,136,422,163,14,10
"054091","Oberá",40443,27258,6219,770,790,4735,586,66,19
"054098","San Ignacio",20650,15428,3248,566,404,693,261,44,6
"054105","San Javier",7541,5614,1322,125,224,165,81,8,2
"054112","San Pedro",10410,5847,3689,240,188,313,112,11,10
"054119","25 de Mayo",10170,7461,2206,158,96,159,48,38,4
"058007","Aluminé",3648,2877,298,86,42,259,55,19,12
"058014","Añelo",6042,4291,380,78,346,632,285,15,15
"058021","Catán Lil",878,583,237,31,13,5,4,4,1
"058028","Collón Curá",1712,1381,140,13,13,130,26,9,0
"058035","Confluencia",168827,121584,6996,777,1864,34816,2265,379,146
"058042","Chos Malal",6849,5147,245,70,14,1228,122,13,10
"058049","Huiliches",6949,4986,535,116,141,1045,110,8,8
"058056","Lácar",14860,10922,509,116,90,2980,193,28,22
"058063","Loncopué",2590,2021,242,44,9,229,37,6,2
"058070","Los Lagos",5880,4950,161,38,62,556,89,8,16
"058077","Minas",3541,3055,160,55,9,200,51,11,0
"058084","Ñorquín",2061,1659,149,53,8,154,28,8,2
"058091","Pehuenches",10427,8259,559,91,74,1207,219,7,11
"058098","Picún Leufú",1875,1579,159,15,16,72,24,0,10
"058105","Picunches",2940,2407,216,24,26,195,65,5,2
"058112","Zapala",15466,12071,996,284,157,1654,266,32,6
"06007","Adolfo Alsina",7161,6430,219,46,9,428,24,3,2
"06014","Adolfo Gonzales Chaves",5088,4687,127,18,5,233,13,5,0
"06021","Alberti",4879,4289,250,40,21,214,24,38,3
"06028","Almirante Brown",184037,130639,26752,741,4346,19972,1230,286,71
"06035","Avellaneda",133402,80282,8100,460,905,41789,1546,278,42
"06042","Ayacucho",8275,7490,238,37,21,444,20,12,13
"06049","Azul",28074,22501,1652,257,99,3287,149,110,19
"06056","Bahía Blanca",130861,87969,5027,1420,427,34973,591,267,187
"06063","Balcarce",17923,14295,929,99,162,2321,57,54,6
"06070","Baradero",13540,11440,1126,164,159,564,60,22,5
"06077","Arrecifes",11619,9964,667,97,26,796,41,26,2
"06084","Benito Juárez",7995,7249,256,46,18,388,17,20,1
"06091","Berazategui",114468,88001,11680,420,2468,10718,948,194,39
"06098","Berisso",34305,25506,3514,255,2130,2602,216,41,41
"06105","Bolívar",14673,12729,522,82,18,1253,41,24,4
"06112","Bragado",17227,14648,914,123,49,1261,89,111,32
"06119","Brandsen",11300,9200,970,123,319,628,36,19,5
"06126","Campana",37072,27026,4266,204,795,4449,273,34,25
"06134","Cañuelas",23232,17533,3402,142,508,1473,113,41,20
"06140","Capitán Sarmiento",5714,5161,244,31,7,229,34,8,0
"06147","Carlos Casares",9156,7710,459,42,8,852,31,29,25
"06154","Carlos Tejedor",4921,4060,363,216,61,162,23,22,14
"06161","Carmen de Areco",6103,5281,483,47,27,228,26,8,3
"06168","Castelli",3524,3106,137,59,13,166,27,11,5
"06175","Colón",9910,8462,660,122,35,537,58,26,10
"06182","Coronel de Marina Leonardo Rosales",23299,19092,593,145,114,3110,163,65,17
"06189","Coronel Dorrego",6290,5726,163,24,12,335,10,15,5
"06196","Coronel Pringles",9287,8139,446,48,14,593,25,20,2
"062007","Adolfo Alsina",24022,16227,891,50,259,6312,228,32,23
"062014","Avellaneda",14850,12132,629,69,31,1778,177,27,7
"062021","Bariloche",62501,44713,2837,341,1828,12013,580,87,102
"062028","Conesa",2695,2314,139,26,7,188,15,5,1
"06203","Coronel Suárez",16647,14998,344,61,14,1151,53,23,3
"062035","El Cuy",2623,1870,597,31,39,44,33,7,2
"062042","General Roca",137275,99850,8457,901,1033,25507,1254,204,69
"062049","9 de Julio",1440,1166,205,14,12,26,14,3,0
"062056","Ñorquinco",596,340,234,6,7,2,6,1,0
"062063","Pichi Mahuida",6225,5395,209,18,3,559,26,12,3
"062070","Pilcaniyeu",3560,2962,273,29,74,197,18,4,3
"062077","San Antonio",13044,10030,510,54,42,2239,122,37,10
"062084","Valcheta",1616,1389,154,17,3,38,11,3,1
"062091","25 de Mayo",5924,4564,817,64,24,364,49,36,6
"06210","Chacabuco",20014,16901,899,117,12,1967,70,42,6
"06218","Chascomús",15605,12765,881,76,190,1604,58,18,13
"06224","Chivilcoy",27414,22650,1590,91,29,2912,89,49,4
"06231","Daireaux",6683,5732,340,192,31,310,34,37,7
"06238","Dolores",11459,9206,1026,101,103,960,29,27,7
"06245","Ensenada",22284,16158,2222,141,1207,2367,159,21,9
"06252","Escobar",81335,58800,11308,291,1897,8056,816,118,49
"06260","Esteban Echeverría",106700,76132,16935,496,1287,10109,1503,188,50
"06266","Exaltación de la Cruz",13580,11112,1165,108,348,696,110,29,12
"06270","Ezeiza",61956,43572,11013,340,1100,5118,680,107,26
"06274","Florencio Varela",143541,96245,30412,842,6209,8158,1339,271,65
"06277","Florentino Ameghino",3665,3136,196,66,32,154,43,33,5
"06280","General Alvarado",16621,13292,1011,64,212,1928,58,42,14
"06287","General Alvear",3905,3551,143,5,12,182,7,3,2
"06294","General Arenales",6402,5979,285,31,2,88,8,7,2
"06301","General Belgrano",7872,6831,432,53,62,450,26,13,5
"06308","General Guido",1208,1032,108,23,18,16,6,2,3
"06315","General Juan Madariaga",8200,6573,876,15,50,621,41,21,3
"06322","General La Madrid",4604,4234,198,22,7,118,16,6,3
"06329","General Las Heras",6160,5022,571,52,64,414,25,8,4
"06336","General Lavalle",1683,1404,204,15,23,27,7,2,1
"06343","General Paz",5215,4376,391,62,80,285,15,6,0
"06351","General Pinto",4779,4238,298,48,11,130,24,20,10
"06357","General Pueyrredón",256657,164955,10647,795,1746,76722,1178,436,178
"06364","General Rodríguez",45391,30478,10021,299,1901,2314,258,74,46
"06371","General San Martín",159346,107603,11671,672,999,35950,2066,343,42
"06385","General Viamonte",7357,5953,642,184,95,401,31,36,15
"06392","General Villegas",12615,10571,995,131,61,717,75,49,16
"06399","Guaminí",4641,4347,118,20,3,124,8,20,1
"06406","Hipólito Yrigoyen",3859,3441,261,17,5,104,19,8,4
"06408","Hurlingham",62380,48952,5080,169,493,7024,495,143,24
