Código,Departamento,Poblacion2010,Viviendas2010,Hogares2010,Hogares_ADptos_sinred2010,Hogares_ADptos_hac_sinred2010,Hogares_CasasB2010,Hacinamiento,Casa_A,viv_Departamento.x,hc_total,VivHabitadas2010,Casa,Rancho,Casilla,viv_Departamento.y,Pieza.en.inquilinato,Pieza.en.hotel.familiar.o.pensión,Local.no.construido.para.habitación,Vivienda.móvil,defhab_simple,defhab_complejo,defhab_simple_pct,defhab_complejo_pct,def_cuali,def_cuali_pct
2001,Comuna 01,206535,130771,84981,39,5,3379,Más de  3.00 personas por cuarto,381,504,885,77669,8715,94,515,58641,5128,4301,265,10,7312,17625,8.60427624998529,20.739930102022804,4298,5.05760111083654
2002,Comuna 02,158083,107967,73338,1,0,25,Más de  3.00 personas por cuarto,13,176,189,71447,1027,2,47,69848,219,290,10,4,1891,2463,2.5784722790367884,3.358422645831629,215,0.29316316234421447
2003,Comuna 03,188819,101161,81616,0,0,310,Más de  3.00 personas por cuarto,58,577,635,76942,4758,0,70,65241,2282,4358,219,14,4674,11617,5.726818270927269,14.233728680650854,945,1.1578612036855518
2004,Comuna 04,218641,82926,76701,31,1,3570,Más de  3.00 personas por cuarto,689,443,1132,69640,24710,125,375,37653,5287,1080,398,12,7061,14338,9.205877367961305,18.693367752702052,4732,6.1694110898162995
2005,Comuna 05,178924,92750,77085,0,0,94,Más de  3.00 personas por cuarto,64,366,430,74054,8903,0,47,61360,1404,2203,137,0,3031,6822,3.9320230913926184,8.849970811441915,524,0.6797690860738146
2006,Comuna 06,176611,93368,75512,0,0,121,Más de  3.00 personas por cuarto,20,285,305,73305,7631,0,19,64491,264,822,78,0,2207,3390,2.9227142705795104,4.489352685665855,426,0.5641487445703994
2007,Comuna 07,220495,89520,81603,9,1,1997,Más de  3.00 personas por cuarto,474,372,846,73940,23286,15,119,46662,2106,1570,182,0,7663,11655,9.390586130411872,14.282563141060992,2851,3.4937441025452496
2008,Comuna 08,187565,55377,58326,27,2,5432,Más de  3.00 personas por cuarto,1285,269,1554,48922,25534,183,405,21371,1178,29,222,0,9404,11421,16.123169769913932,19.58131879436272,7011,12.02036827486884
2009,Comuna 09,162051,63322,56618,0,0,984,Más de  3.00 personas por cuarto,359,176,535,51517,29019,23,38,21411,235,640,151,0,5101,6188,9.009502278427355,10.92938641421456,1519,2.6828923663852486
2010,Comuna 10,165788,71572,61222,1,1,617,Más de  3.00 personas por cuarto,161,187,348,58295,28946,29,72,27741,1033,348,126,0,2927,4535,4.780961092417758,7.407467903694751,965,1.5762307667178466
