Código,Departamento,Poblacion2022,Viviendas2022,Hogares2022,Hogares_ADptos_sinred2022,Hogares_ADptos_hac_sinred2022,Hogares_CasasB2022,Hacinamiento,Casa_A,viv_Departamento.x,hc_total,VivHabitadas2022,Casa.tipo.A,Casa.tipo.B,Rancho,Casilla,viv_Departamento.y,Pieza.ocupada.en.inquilinato..hotel.familiar.o.pensión,Local.no.construido.para.habitación.ocupado,Vivienda.móvil.ocupada,defhab_simple,defhab_complejo,defhab_simple_pct,defhab_complejo_pct,def_cuali,def_cuali_pct
10007,Ambato,5087,3949,1751,140,1,232,"6. Más de 3,00  personas por cuarto",20,0,20,1714,1437,224,13,14,15,10,0,1,37,75,2.11307824100514,4.283266704740148,391,22.330097087378643
10014,Ancasti,3282,1427,1086,198,5,388,"6. Más de 3,00  personas por cuarto",18,1,19,1062,653,375,20,2,4,6,2,0,24,54,2.209944751381215,4.972375690607735,600,55.24861878453039
10021,Andalgalá,19545,7574,6110,180,2,798,"6. Más de 3,00  personas por cuarto",88,7,95,5932,4909,750,39,25,152,42,10,5,178,299,2.913256955810147,4.8936170212765955,1071,17.528641571194765
10028,Antofagasta de la Sierra,1822,971,629,15,0,142,"6. Más de 3,00  personas por cuarto",6,0,6,612,444,137,7,2,9,11,0,2,17,39,2.7027027027027026,6.200317965023848,163,25.914149443561207
10035,Belén,30353,11609,9563,262,6,1504,"6. Más de 3,00  personas por cuarto",114,6,120,9372,7258,1433,120,18,433,100,8,2,191,439,1.9972811879117431,4.590609641325943,1880,19.659102792010874
10042,Capayán,19471,7312,5805,883,32,1266,"6. Más de 3,00  personas por cuarto",122,5,127,5664,4220,1209,82,37,45,37,29,5,141,331,2.428940568475452,5.701981050818261,2244,38.656330749354005
10049,Capital,186466,63346,59691,170,6,4252,"6. Más de 3,00  personas por cuarto",765,110,875,58382,47076,4024,338,201,5990,629,101,23,1309,2601,2.1929604127925484,4.357440820224155,5291,8.863982844985006
10056,El Alto,4375,2137,1477,117,1,382,"6. Más de 3,00  personas por cuarto",19,0,19,1448,1010,374,25,17,12,7,1,2,29,81,1.9634394041976981,5.484089370345294,517,35.00338524035207
10063,Fray Mamerto Esquiú,14624,4678,4261,34,1,430,"6. Más de 3,00  personas por cuarto",59,2,61,4139,3628,401,32,25,37,11,2,3,122,195,2.863177657826801,4.576390518657592,524,12.297582727059375
10070,La Paz,26341,9770,8389,237,4,2028,"6. Más de 3,00  personas por cuarto",140,22,162,8196,5558,1951,288,34,256,94,9,6,193,624,2.300631779711527,7.43831207533675,2423,28.883061151507928
